"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2023","2.75","2.86","2.91","2.71","471.10K","-3.51%"
"10/08/2023","2.85","2.83","2.92","2.78","263.22K","-2.06%"
"10/01/2023","2.91","3.00","3.05","2.91","813.42K","-1.69%"
"09/24/2023","2.96","3.00","3.13","2.93","408.12K","-1.66%"
"09/17/2023","3.01","3.10","3.11","2.99","110.24K","-3.22%"
"09/10/2023","3.11","3.05","3.25","3.05","277.60K","1.63%"
"09/03/2023","3.06","2.93","3.11","2.88","539.72K","3.73%"
"08/27/2023","2.95","3.02","3.20","2.90","407.01K","-2.96%"
"08/20/2023","3.04","3.02","3.10","2.95","224.37K","-0.98%"
"08/13/2023","3.07","3.45","3.45","3.01","472.48K","-11.01%"
"08/06/2023","3.45","3.42","3.56","3.20","1.13M","1.47%"
"07/30/2023","3.40","3.02","3.44","3.02","1.05M","12.21%"
"07/23/2023","3.03","3.21","3.21","2.90","116.72K","-5.31%"
"07/16/2023","3.20","2.97","3.20","2.95","247.48K","7.02%"
"07/09/2023","2.99","2.89","3.03","2.89","112.01K","2.75%"
"07/02/2023","2.91","2.94","3.00","2.86","119.73K","0.00%"
"06/25/2023","2.91","2.75","2.97","2.68","295.53K","5.82%"
"06/18/2023","2.75","3.11","3.11","2.73","232.42K","-11.58%"
"06/11/2023","3.11","2.85","3.18","2.70","634.36K","10.28%"
"06/04/2023","2.82","2.62","3.09","2.62","1.13M","7.63%"
"05/28/2023","2.62","2.80","2.90","2.51","380.49K","-2.60%"
"05/21/2023","2.69","2.69","2.94","2.52","396.27K","0.75%"
"05/14/2023","2.67","2.74","3.12","2.62","746.24K","-2.55%"
"05/07/2023","2.74","3.33","3.33","2.74","637.31K","-15.95%"
"04/30/2023","3.26","3.62","3.81","3.01","841.15K","-7.91%"
"04/23/2023","3.54","3.35","3.60","3.14","2.61M","4.42%"
"04/16/2023","3.39","2.99","3.39","2.90","999.66K","17.71%"
"04/09/2023","2.88","2.52","3.11","2.52","1.54M","13.83%"
"04/02/2023","2.53","2.37","2.53","2.31","335.44K","6.75%"
"03/26/2023","2.37","2.35","2.45","2.22","504.90K","0.85%"
"03/19/2023","2.35","2.05","2.35","2.01","617.35K","21.13%"
"03/12/2023","1.94","2.04","2.11","1.94","244.06K","-5.83%"
"03/05/2023","2.06","2.04","2.18","1.90","533.26K","1.48%"
"02/26/2023","2.03","1.70","2.08","1.70","825.38K","20.12%"
"02/19/2023","1.69","1.31","1.71","1.28","737.24K","29.01%"
"02/12/2023","1.31","1.36","1.38","1.30","54.48K","-2.96%"
"02/05/2023","1.35","1.35","1.40","1.30","90.04K","2.27%"
"01/29/2023","1.32","1.31","1.40","1.30","106.23K","0.00%"
"01/22/2023","1.32","1.37","1.38","1.30","121.07K","-3.65%"
"01/15/2023","1.37","1.35","1.45","1.35","81.87K","0.00%"
"01/08/2023","1.37","1.40","1.40","1.32","89.57K","0.00%"
"01/01/2023","1.37","1.43","1.45","1.36","44.14K","-5.52%"
"12/25/2022","1.45","1.44","1.48","1.40","50.99K","2.11%"
"12/18/2022","1.42","1.45","1.46","1.40","64.51K","-4.70%"
"12/11/2022","1.49","1.47","1.51","1.45","32.50K","0.00%"
"12/04/2022","1.49","1.45","1.51","1.45","29.44K","2.76%"
"11/27/2022","1.45","1.43","1.50","1.42","43.89K","0.00%"
"11/20/2022","1.45","1.45","1.47","1.43","42.80K","-2.03%"
"11/13/2022","1.48","1.45","1.51","1.41","189.16K","0.00%"
"11/06/2022","1.48","1.42","1.50","1.40","234.70K","4.23%"
"10/30/2022","1.42","1.35","1.46","1.35","128.07K","5.19%"
"10/23/2022","1.35","1.33","1.38","1.30","140.00K","3.05%"
"10/16/2022","1.31","1.33","1.35","1.30","188.08K","-1.50%"
"10/09/2022","1.33","1.32","1.33","1.31","17.33K","-1.48%"
"10/02/2022","1.35","1.30","1.35","1.30","93.33K","3.85%"
"09/25/2022","1.30","1.34","1.35","1.30","98.82K","-2.99%"
"09/18/2022","1.34","1.33","1.36","1.28","231.47K","2.29%"
"09/11/2022","1.31","1.31","1.32","1.30","66.42K","0.00%"
"09/04/2022","1.31","1.20","1.42","1.20","806.29K","12.93%"
"08/28/2022","1.16","1.22","1.26","1.16","98.19K","-6.45%"
"08/21/2022","1.24","1.27","1.30","1.21","244.74K","-2.36%"
"08/14/2022","1.27","1.25","1.37","1.23","707.42K","0.79%"
"08/07/2022","1.26","1.15","1.34","1.10","397.70K","9.57%"
"07/31/2022","1.15","1.07","1.16","1.02","66.68K","5.50%"
"07/24/2022","1.09","1.05","1.11","1.01","37.53K","3.81%"
"07/17/2022","1.05","1.06","1.12","1.05","32.69K","-0.94%"
"07/10/2022","1.06","1.07","1.07","1.05","31.89K","-2.75%"
